Input_10_perfumes.csv,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
S_No,Perfume_Name,Ingredient_1,Ingredient_2,Ingredient_3,Ingredient_4,Ingredient_5,Ingredient_6,Ingredient_7,Ingredient_8,Ingredient_9,Ingredient_10,Ingredient_11,Ingredient_12,Ingredient_13,Ingredient_14,Ingredient_15,Ingredient_16,Ingredient_17,Ingredient_18,Ingredient_19,Ingredient_20,Ingredient_21,Ingredient_22,Ingredient_23
1,DIOR SAUVAGE EDP,ALCOHOL,PARFUM (FRAGRANCE),AQUA (WATER),LIMONENE,LINALOOL,ETHYLHEXYL METHOXYCINNAMATE,COUMARIN,CITRONELLOL,DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE,BUTYL METHOXYDIBENZOYLMETHANE,ETHYLHEXYL SALICYLATE, CITRAL, BHT, GERANIOL, CI 60730 (EXT. VIOLET 2), TOCOPHEROL, CI 19140 (YELLOW 5), CI 14700 (RED 4), CI 42090 (BLUE 1),,,,
2,JEAN PAUL GAULTIER LE MALE ELIXIR PARFUM, ALCOHOL DENAT, PARFUM (FRAGRANCE), AQUA (WATER), LINALOOL, COUMARIN, LIMONENE, BUTYL METHOXYDIBENZOYLMETHANE, ALPHA-ISOMETHYL IONONE, CINNAMAL, CITRAL, GERANIOL, BENZYL BENZOATE, BENZYL ALCOHOL.,,,,,,,,,,
3,KILIAN ANGELS’ SHARE EDP,ALCOHOL DENAT, FRAGRANCE (PARFUM), WATER\AQUA\EAU, COUMARIN, LIMONENE, CINNAMYL ALCOHOL, CINNAMAL, LINALOOL,EUGENOL, BENZYL BENZOATE, BHT <ILN48634>,,,,,,,,,,,,
4,AMOUAGE INTERLUDE MAN EDP ,ALCOHOL DENAT ,PARFUM ,LIMONENE ,LINALOOL ,CINNAMYL ALCOHOL ,COUMARIN ,EUGENOL ,BENZYL ALCOHOL ,CITRAL ,CITRONELLOL ,ANISE ALCOHOL ,FARNESOL ,GERANIOL ,BENZYL BENZOATE ,BENZYL SALICYLATE , ISOEUGENOL, CINNAMAL.,,,,,,
5,RASASI HAWAS EDP ,ALCOHOL DENAT. ,AQUA/WATER/EAU ,PARFUM/FRAGRANCE ,METHYL CYCLODEXTRIN ,ETHYLHEXYL SALICYLATE ,LIMONENE ,BUTYL METHOXYDIBENZOYLMETHANE , LINALOOL , CITRAL , ALCOHOL , TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) , CITRATE , FARNESOL ,TETRASODIUM GLUTAMATE DIACETATE ,EXT. D&C VIOLET NO. 2 (CI 60730) ,FD&C BLUE NO. 1 (CI 42090) ,FD&C RED NO. 4 (CI 14700).,,,,,,
6,LATTAFA FAKHR EDPALCOHOL DENAT.,AQUA/WATER/EAU ,PARFUM/FRAGRANCE ,METHYL CYCLODEXTRIN ,ETHYLHEXYL SALICYLATE ,LIMONENE ,BUTYL METHOXYDIBENZOYLMETHANE ,LINALOOL ,CITRAL ,ALCOHOL ,TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE , FARNESOL , TETRASODIUM GLUTAMATE DIACETATE , EXT. D&C VIOLET NO. 2 (CI 60730) ,FD&C BLUE NO. 1 (CI 42090) ,FD&C RED NO. 4 (CI 14700).,,,,,,,,
7,CHANEL ALLURE HOMME SPORT EAU EXTREME EDP ,ALCOHOL ,PARFUM (FRAGRANCE) ,AQUA (WATER) ,LIMONENE ,LINALOOL ,COUMARIN ,ALPHA-ISOMETHYL IONONE ,CITRAL ,GERANIOL ,CITRONELLOL ,CINNAMAL ,FARNESOL ,HYDROXYCITRONELLAL ,IL22-1,,,,,,,,,
8,MANCERA AOUD VANILLE EDP,ALCOHOL ,PARFUM / FRAGRANCE ,AQUA/WATER/EAU ,DIPROPYLENE GLYCOL ,LIMONENE ,LINALOOL ,BENZYL SALICYLATE ,BENZYL ALCOHOL ,BUTYL METHOXYDIBENZOYLMETHANE ,HYDROXICITRONELLAL ,METHYL ANTHRANILATE  , CITRONELLOL , ALPHA-ISOMETHYL IONONE, COUMARIN ,GERANIOL ,ISOEUGENOL ,BENZYL BENZOATE ,CITRAL ,TRIE(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE ,EUGENOL ,FARNESOL ,CI 60730 / EXT. VIOLET 2 ,CI 17200 / RED 33. 560528 07.
9,LOUIS VUITTON OMBRÉ NOMADE EDP,ALCOHOL ,PARFUM (FRAGRANCE) ,AQUA (WATER) ,CITRONELLOL ,ETHYLHEXYL METHOXYCINNAMATE ,LINALOOL ,BHT ,BUTYL METHOXYDIBENZOYLMETHANE ,BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE ,GERANIOL ,CINNAMYL ALCOHOL, FARNESOL , LIMONENE ,BENZYL ALCOHOL ,BENZYL BENZOATE ,EUGENOL ,CITRAL ,ISOEUGENOL ,TOCOPHEROL ,CI 60730 (EXT. VIOLET 2) ,CI 14700 (RED 4) ,CI 19140 (YELLOW 5),
10,VAN CLEEF AND ARPELS ORCHID LEATHER EDP,ALCOHOL ,PARFUM / FRAGRANCE ,AQUA/WATER/EAU ,DIPROPYLENE GLYCOL ,LIMONENE ,LINALOOL ,BENZYL SALICYLATE ,BENZYL ALCOHOL ,BUTYL METHOXYDIBENZOYLMETHANE ,HYDROXICITRONELLAL ,METHYL ANTHRANILATE , CITRONELLOL ,ALPHA-ISOMETHYL IONONE ,COUMARIN ,GERANIOL ,ISOEUGENOL ,BENZYL BENZOATE ,CITRAL ,TRIE(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE ,EUGENOL ,FARNESOL ,CI 60730 / EXT. VIOLET 2 ,CI 17200 / RED 33. 560528 07
