Ingredient ID,Ingredient Name
Ingredient 1,ALCOHOL
Ingredient 2,PARFUM (FRAGRANCE)
Ingredient 3,AQUA (WATER)
Ingredient 4,CITRONELLOL
Ingredient 5,LIMONENE
Ingredient 6,BUTYL
Ingredient 7,METHOXYDIBENZOYLMETHANE
Ingredient 8,ETHYLHEXYL METHOXY-CINNAMATE
Ingredient 9,ALPHA-ISOMETHYL IONONE LINALOOL
Ingredient 10,HEXYL CINNAMAL
Ingredient 11,BENZYL BENZOATE
Ingredient 12,BHT
Ingredient 13,HYDROXY-CITRONELLAL
Ingredient 14,GERANIOL
Ingredient 15,CINNAMYL ALCOHOL
Ingredient 16,BENZYL SALICYLATE
Ingredient 17,CITRAL
Ingredient 18,FARNESOL
