Ingredient ID, Ingredient Name,Ingredient,Cost (10 g)
1,AQUA (WATER),1,1.667
2,CITRUS RETICULATA FRUIT OIL,2,26.94
3,ALCOHOL,3,62.8
4,CAMPHOR,4,100
5,HELIANTHUS ANNUUS SEED OIL,5,200
6,BENZYL SALICYLATE,6,359.04
7,LINALYL ACETATE,7,359.04
8,CITRUS AURANTIUM DULCIS OIL,8,400
9,CITRONELLOL,9,449.61
10,LINALOOL,10,449.61
11,CINNAMYL ALCOHOL,11,449.61
12,EUGENOL,12,449.61
13,EUCALYPTUS GLOBULUS LEAF OIL,13,449.61
14,LIMONENE,14,500
15,CITRUS MEDICA LIMONUM PEEL OIL,15,500
16,CITRUS SINENSIS PEEL OIL EXPRESSED,16,500
17,LIMONENE,17,500
18,LIMONENE,18,500
19,CITRUS AURANTIUM DULCIS PEEL OIL EXPRESSED,19,500
20,ALPHA-ISOMETHYL IONONE,20,539.1
21,HEXYL CINNAMAL,21,539.1
22,BHT,22,539.1
23,JUNIPERUS VIRGINIANA OIL,23,539.1
24,MENTHA VIRIDIS LEAF OIL,24,600
25,CINNAMOMUM CAMPHORA BARK OIL,25,600
26,ROSMARINUS OFFICINALIS LEAF OIL,26,600
27,PINUS SYLVESTRIS LEAF OIL,27,600
28,LAVANDULA HYBRIDA OIL,28,600
29,FOENICULUM VULGARE OIL,29,600
30,BENZYL BENZOATE,30,628.59
31,CITRUS SINENSIS PEEL OIL,31,628.59
32,CINNAMOMUM CASSIA LEAF OIL,32,700
33,GERANIOL,33,719.16
34,CITRAL,34,719.16
35,AMYL CINNAMAL,35,719.16
36,CINNAMALDEHYDE,36,719.16
37,BENZYL ALCOHOL,37,719.16
38,ANISALDEHYDE,38,719.16
39,CITRUS LIMON PEEL OIL,39,719.16
40,MENTHA PIPERITA OIL,40,719.16
41,SANTALUM SPICATA WOOD OIL,41,719.16
42,TOCOPHEROL,42,800
43,CINNAMOMUM ZEYLANICUM LEAF OIL,43,800
44,CITRUS RETICULATA PEEL OIL,44,800
45,CITRUS NOBILIS PEEL OIL,45,800
46,CITRUS PARADISI PEEL OIL,46,800
47,ROSMARINUS OFFICINALIS LEAF EXTRACT,47,800
48,COMMIPHORA MYRRHA OIL,48,808.65
49,PIPER NIGRUM FRUIT OIL,49,898.14
50,THYMUS VULGARIS OIL,50,898.14
51,PIMENTA ACRIS LEAF OIL,51,898.14
52,CANANGA ODORATA LEAF OIL,52,898.14
53,PIPER NIGRUM SEED OIL,53,898.14
54,FARNESOL,54,988.71
55,CORIANDRUM SATIVUM SEED OIL,55,1000
56,ABIES SIBIRICA OIL,56,1000
57,MYRISTICA FRAGRANS ARIL OIL,57,1000
58,PICEA EXCELSA LEAF OIL,58,1000
59,LAVANDULA ANGUSTIFOLIA OIL,59,1078.2
60,LAVANDULA INTERMEDIA OIL,60,1078.2
61,ELETTARIA CARDAMOMUM SEED OIL,61,1167.69
62,PATCHOULI,62,1167.69
63,CITRUS BERGAMIA PEEL OIL EXPRESSED,63,1200
64,JUNIPERUS COMMUNIS FRUIT OIL,64,1200
65,CYMBOPOGON MARTINI OIL,65,1200
66,CITRUS AURANTIUM BERGAMIA PEEL OIL,66,1200
67,CITRUS AURANTIUM AMARA LEAF/TWIG OIL,67,1200
68,MYRISTICA FRAGRANS KERNEL OIL,68,1200
69,CITRUS AURANTIUM LEAF OIL,69,1200
70,CITRUS AURANTIUM BERGAMIA LEAF OIL,70,1200
71,LITSEA CUBEBA FRUIT OIL,71,1200
72,BACKHOUSIA CITRIODORA LEAF OIL,72,1200
73,VETIVERIA ZIZANOIDES ROOT OIL,73,1437.24
74,ETHYLHEXYL METHOXY-CINNAMATE,74,1500
75,CANANGA ODORATA FLOWER OIL,75,1500
76,EUGENIA CARYOPHYLLUS FLOWER OIL,76,1500
77,STYRAX BENZOIN GUM,77,1500
78,POGOSTEMON CABLIN OIL,78,1500
79,ORIGANUM MAJORANA LEAF OIL,79,1500
80,SALVIA SCLAREA OIL,80,1500
81,CANARIUM LUZONICUM GUM OIL,81,1500
82,CITRUS AURANTIUM DULCIS FLOWER OIL,82,1500
83,ILLICIUM VERUM FRUIT/SEED OIL,83,1500
84,APIUM GRAVEOLENS SEED EXTRACT,84,1500
85,BUTYL,85,1527.81
86,PELARGONIUM GRAVEOLENS FLOWER OIL,86,1527.81
87,BOSWELLIA SERRATA OIL,87,1706.79
88,ROSA DAMASCENA FLOWER OIL,88,1797
89,AMYLCINNAMYL ALCOHOL,89,2000
90,CINNAMYL ACETATE,90,2000
91,CITRUS AURANTIUM AMARA FLOWER OIL,91,2000
92,CHAMOMILLA RECUTITA FLOWER OIL,92,2000
93,MELISSA OFFICINALIS LEAF OIL,93,2000
94,ANTHEMIS NOBILIS FLOWER OIL,94,2500
95,PARFUM (FRAGRANCE),95,3000
96,METHOXYDIBENZOYLMETHANE,96,3000
97,HYDROXY-CITRONELLAL,97,3000
98,ARTEMISIA PALLENS FLOWER OIL,98,3324.09
99,JASMINUM OFFICINALE OIL,99,4312.8
100,SANTALUM ALBUM OIL,100,10000
